crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,20,1,5,0.2,1,0,18,0.0004019737243652344,1,True
Uniform,20,1,5,0.8,1,0,37,0.0006573200225830078,1,True
Uniform,20,1,5,0.2,1,7,160,0.0033295154571533203,0.8,False
Uniform,20,1,5,0.8,1,3,80,0.001806497573852539,0.19999999999999996,False
Uniform,20,1,5,0.2,1,0,8,0.00016355514526367188,1,True
Uniform,20,1,5,0.8,1,0,16,0.00025773048400878906,1,True
Uniform,20,1,5,0.2,1,0,19,0.00029158592224121094,1,True
Uniform,20,1,5,0.8,1,5,120,0.002227783203125,0.19999999999999996,False
Uniform,20,1,5,0.2,1,5,120,0.0021903514862060547,0.8,False
Uniform,20,1,5,0.8,1,0,14,0.00023293495178222656,1,True
Uniform,20,1,5,0.2,1,0,32,0.000514984130859375,1,True
Uniform,20,1,5,0.8,1,0,1,4.0531158447265625e-05,1,True
Uniform,20,1,5,0.2,1,0,11,0.0001823902130126953,1,True
Uniform,20,1,5,0.8,1,5,120,0.0021965503692626953,0.19999999999999996,False
Uniform,20,1,5,0.2,1,0,3,8.630752563476562e-05,1,True
Uniform,20,1,5,0.8,1,0,39,0.0005519390106201172,1,True
Uniform,20,1,5,0.2,1,0,33,0.0005097389221191406,1,True
Uniform,20,1,5,0.8,1,0,13,0.00020360946655273438,1,True
Uniform,20,1,5,0.2,1,0,15,0.0002269744873046875,1,True
Uniform,20,1,5,0.8,1,0,4,8.416175842285156e-05,1,True
Uniform,40,1,5,0.2,1,0,21,0.0003018379211425781,1,True
Uniform,40,1,5,0.8,1,0,20,0.0002930164337158203,1,True
Uniform,40,1,5,0.2,1,0,3,6.985664367675781e-05,1,True
Uniform,40,1,5,0.8,1,0,36,0.0005090236663818359,1,True
Uniform,40,1,5,0.2,1,0,2,5.4836273193359375e-05,1,True
Uniform,40,1,5,0.8,1,1,118,0.0027709007263183594,1,True
Uniform,40,1,5,0.2,1,0,15,0.00150299072265625,1,True
Uniform,40,1,5,0.8,1,0,10,0.001291513442993164,1,True
Uniform,40,1,5,0.2,1,0,62,0.004719734191894531,1,True
Uniform,40,1,5,0.8,1,0,20,0.0005733966827392578,1,True
Uniform,40,1,5,0.2,1,4,200,0.0048274993896484375,0.8,False
Uniform,40,1,5,0.8,1,0,21,0.0004076957702636719,1,True
Uniform,40,1,5,0.2,1,0,32,0.0005514621734619141,1,True
Uniform,40,1,5,0.8,1,0,59,0.002907991409301758,1,True
Uniform,40,1,5,0.2,1,0,54,0.005646228790283203,1,True
Uniform,40,1,5,0.8,1,0,14,0.0007946491241455078,1,True
Uniform,40,1,5,0.2,1,0,9,0.00020456314086914062,1,True
Uniform,40,1,5,0.8,1,0,5,0.00013065338134765625,1,True
Uniform,40,1,5,0.2,1,6,280,0.0058519840240478516,0.8,False
Uniform,40,1,5,0.8,1,0,3,0.00010442733764648438,1,True
Uniform,60,1,5,0.2,1,6,420,0.008788824081420898,0.8,False
Uniform,60,1,5,0.8,1,0,3,0.00011277198791503906,1,True
Uniform,60,1,5,0.2,1,0,30,0.0005536079406738281,1,True
Uniform,60,1,5,0.8,1,0,1,4.863739013671875e-05,1,True
Uniform,60,1,5,0.2,1,0,42,0.0007302761077880859,1,True
Uniform,60,1,5,0.8,1,0,59,0.0011355876922607422,1,True
Uniform,60,1,5,0.2,1,0,30,0.0011868476867675781,1,True
Uniform,60,1,5,0.8,1,0,34,0.000583648681640625,1,True
Uniform,60,1,5,0.2,1,0,19,0.0003616809844970703,1,True
Uniform,60,1,5,0.8,1,0,8,0.0001647472381591797,1,True
Uniform,60,1,5,0.2,1,0,24,0.0004153251647949219,1,True
