optimizer,algorithm,function,n_functions,population size,evaluations
GBO,DE,sphere,1,31,31062.0
GBO,DE,sphere,1,38,975.0
GBO,DE,sphere,1,35,1044.0
GBO,DE,sphere,1,35,1044.0
GBO,DE,sphere,1,34,34068.0
GBO,DE,sphere,1,57,1682.0
GBO,DE,sphere,1,29,29058.0
GBO,DE,sphere,1,50,1224.0
GBO,DE,sphere,1,37,988.0
GBO,DE,sphere,1,29,29058.0
GBO,DE,sphere,2,46,46092.0
GBO,DE,sphere,2,52,1484.0
GBO,DE,sphere,2,45,1426.0
GBO,DE,sphere,2,60,1830.0
GBO,DE,sphere,2,51,51102.0
GBO,DE,sphere,2,44,44088.0
GBO,DE,sphere,2,47,1152.0
GBO,DE,sphere,2,45,1426.0
GBO,DE,sphere,2,51,51102.0
GBO,DE,sphere,2,57,1334.0
GBO,DE,sphere,4,65,1980.0
GBO,DE,sphere,4,52,1643.0
GBO,DE,sphere,4,60,1891.0
GBO,DE,sphere,4,54,54108.0
GBO,DE,sphere,4,60,2135.0
GBO,DE,sphere,4,59,59118.0
GBO,DE,sphere,4,63,1728.0
GBO,DE,sphere,4,80,2187.0
GBO,DE,sphere,4,60,1708.0
GBO,DE,sphere,4,56,56112.0
GBO,DE,sphere,5,53,1458.0
GBO,DE,sphere,5,61,61122.00000000001
GBO,DE,sphere,5,55,1904.0
GBO,DE,sphere,5,56,56112.00000000001
GBO,DE,sphere,5,67,1904.0
GBO,DE,sphere,5,65,1914.0
GBO,DE,sphere,5,55,1736.0000000000002
GBO,DE,sphere,5,55,1904.0
GBO,DE,sphere,5,60,1586.0000000000002
GBO,DE,sphere,5,56,56112.00000000001
GBO,DE,sphere,6,61,61122.0
GBO,DE,sphere,6,55,1848.0
GBO,DE,sphere,6,65,2112.0
GBO,DE,sphere,6,53,1620.0
GBO,DE,sphere,6,52,1642.9999999999998
GBO,DE,sphere,6,39,39078.0
GBO,DE,sphere,6,65,1980.0
GBO,DE,sphere,6,55,1791.9999999999995
GBO,DE,sphere,6,49,49098.0
GBO,DE,sphere,6,53,1620.0
GBO,DE,sphere,7,52,1643.0
GBO,DE,sphere,7,80,2186.9999999999995
GBO,DE,sphere,7,56,56112.0
GBO,DE,sphere,7,60,1708.0
GBO,DE,sphere,7,63,1855.9999999999998
GBO,DE,sphere,7,49,49098.0
GBO,DE,sphere,7,60,1952.0
GBO,DE,sphere,7,65,2112.0
GBO,DE,sphere,7,62,1827.0
GBO,DE,sphere,7,44,44088.0
GBO,DE,sphere,8,80,2430.0
GBO,DE,sphere,8,56,56112.0
GBO,DE,sphere,8,58,2242.0
GBO,DE,sphere,8,60,1769.0
GBO,DE,sphere,8,62,1827.0
GBO,DE,sphere,8,61,61122.0
GBO,DE,sphere,8,49,49098.0
GBO,DE,sphere,8,59,59118.0
GBO,DE,sphere,8,61,61122.0
GBO,DE,sphere,8,68,2070.0
GBO,DE,sphere,9,70,1988.0
GBO,DE,sphere,9,75,2356.0
GBO,DE,sphere,9,61,61122.00000000001
GBO,DE,sphere,9,54,54108.0
GBO,DE,sphere,9,70,2059.0
GBO,DE,sphere,9,55,2240.0
GBO,DE,sphere,9,53,1728.0
GBO,DE,sphere,9,55,1736.0
GBO,DE,sphere,9,56,56111.999999999985
GBO,DE,sphere,9,57,1566.0
GBO,DE,sphere,10,57,1740.0
GBO,DE,sphere,10,51,51102.0
GBO,DE,sphere,10,51,51102.0
GBO,DE,sphere,10,61,61122.0
GBO,DE,sphere,10,59,59118.000000000015
GBO,DE,sphere,10,67,2175.9999999999995
